epsilon1 epsilon2 fB
-0.827 3.828 0.10
-0.827 3.869 0.10
-0.827 3.909 0.10
-0.827 3.949 0.10
-0.827 3.990 0.10
-0.827 4.030 0.10
-0.827 4.071 0.10
-0.827 4.111 0.10
-0.827 4.152 0.10
-0.827 4.192 0.10
-0.827 4.232 0.10
-0.827 4.273 0.10
-0.827 4.313 0.10
-0.827 4.354 0.10
-0.827 4.394 0.10
-0.827 4.434 0.10
-0.827 4.475 0.10
-0.827 4.515 0.10
-0.827 4.556 0.10
-0.827 4.596 0.10
-0.827 4.636 0.10
-0.827 4.677 0.10
-0.827 4.717 0.10
-0.827 4.758 0.10
-0.827 4.798 0.10
-0.827 4.838 0.10
-0.827 4.879 0.10
-0.827 4.919 0.10
-0.827 4.960 0.10
-0.827 5.000 0.10
-0.818 1.000 0.10
-0.818 1.040 0.10
-0.818 1.081 0.10
-0.818 1.121 0.10
-0.818 1.162 0.10
-0.818 1.202 0.10
-0.818 1.242 0.10
-0.818 1.283 0.10
-0.818 1.323 0.10
-0.818 1.364 0.10
-0.818 1.404 0.10
-0.818 1.444 0.10
-0.818 1.485 0.10
-0.818 1.525 0.10
-0.818 1.566 0.10
-0.818 1.606 0.10
-0.818 1.646 0.10
-0.818 1.687 0.10
-0.818 1.727 0.10
-0.818 1.768 0.10
-0.818 1.808 0.10
-0.818 1.848 0.10
-0.818 1.889 0.10
-0.818 1.929 0.10
-0.818 1.970 0.10
-0.818 2.010 0.10
-0.818 2.051 0.10
-0.818 2.091 0.10
-0.818 2.131 0.10
-0.818 2.172 0.10
-0.818 2.212 0.10
-0.818 2.253 0.10
-0.818 2.293 0.10
-0.818 2.333 0.10
-0.818 2.374 0.10
-0.818 2.414 0.10
-0.818 2.455 0.10
-0.818 2.495 0.10
-0.818 2.535 0.10
-0.818 2.576 0.10
-0.818 2.616 0.10
-0.818 2.657 0.10
-0.818 2.697 0.10
-0.818 2.737 0.10
-0.818 2.778 0.10
-0.818 2.818 0.10
-0.818 2.859 0.10
-0.818 2.899 0.10
-0.818 2.939 0.10
-0.818 2.980 0.10
